run,Position,Velocity,TorqueForce,TorqueGeneratingCurrent,timestamp,timestepsns,timestepsms,a_ziel,v_ziel,Amplitude,Messzeitms
61,30.16309928894043,-18.31100082397461,-0.029999999329447746,-0.20800000429153442,703408557306,543997948,543.997948,2710.0,72,32,1885.987876
61,29.862300872802734,-1927.18505859375,-0.05999999865889549,-0.19699999690055847,703432557844,567998486,567.998486,2710.0,72,32,1885.987876
61,28.99530029296875,-2611.5419921875,-0.05999999865889549,-0.20200000703334808,703456556846,591997488,591.997488,2710.0,72,32,1885.987876
61,27.85059928894043,-3224.945068359375,-0.05000000074505806,-0.18400000035762787,703480564088,616004730,616.00473,2710.0,72,32,1885.987876
61,26.508699417114258,-3577.423095703125,-0.05000000074505806,-0.20000000298023224,703504558061,639998703,639.998703,2710.0,72,32,1885.987876
61,25.045799255371094,-3794.861083984375,-0.05000000074505806,-0.19200000166893005,703528557203,663997845,663.997845,2710.0,72,32,1885.987876
61,23.495399475097656,-4019.1650390625,-0.05999999865889549,-0.19900000095367432,703552555785,687996427,687.996427,2710.0,72,32,1885.987876
61,21.888200759887695,-4179.3818359375,-0.05000000074505806,-0.21799999475479126,703576557580,711998222,711.998222,2710.0,72,32,1885.987876
61,20.23870086669922,-4183.9599609375,-0.05999999865889549,-0.24199999868869781,703600566639,736007281,736.007281,2710.0,72,32,1885.987876
61,18.57040023803711,-4289.24609375,-0.05999999865889549,-0.2290000021457672,703624557399,759998041,759.998041,2710.0,72,32,1885.987876
61,16.862499237060547,-4225.1591796875,-0.05999999865889549,-0.21299999952316284,703648556820,783997462,783.997462,2710.0,72,32,1885.987876
61,15.157500267028809,-4302.97900390625,-0.05999999865889549,-0.18700000643730164,703672555682,807996324,807.996324,2710.0,72,32,1885.987876
61,13.454700469970703,-4380.798828125,-0.05999999865889549,-0.23600000143051147,703696556779,831997421,831.997421,2710.0,72,32,1885.987876
61,11.730899810791016,-4286.95703125,-0.05999999865889549,-0.24699999392032623,703720564091,856004733,856.004733,2710.0,72,32,1885.987876
61,10.015299797058105,-4341.88916015625,-0.05999999865889549,-0.2290000021457672,703744558413,879999055,879.999055,2710.0,72,32,1885.987876
61,8.29010009765625,-4316.7119140625,-0.05999999865889549,-0.2329999953508377,703768558113,903998755,903.998755,2710.0,72,32,1885.987876
61,6.556000232696533,-4286.95703125,-0.05000000074505806,-0.18799999356269836,703792557255,927997897,927.997897,2710.0,72,32,1885.987876
61,4.830900192260742,-4344.1767578125,-0.05000000074505806,-0.1940000057220459,703816556675,951997317,951.997317,2710.0,72,32,1885.987876
61,3.1101999282836914,-4330.44482421875,-0.05999999865889549,-0.20200000703334808,703840564197,976004839,976.004839,2710.0,72,32,1885.987876
61,1.3844000101089478,-4378.509765625,-0.05999999865889549,-0.23399999737739563,703864557751,999998393,999.998393,2710.0,72,32,1885.987876
61,-0.34529998898506165,-4282.37890625,-0.05999999865889549,-0.24799999594688416,703888555216,1023995858,1023.995858,2710.0,72,32,1885.987876
61,-2.0671000480651855,-4335.02197265625,-0.05999999865889549,-0.21699999272823334,703912555754,1047996396,1047.996396,2710.0,72,32,1885.987876
61,-3.8013999462127686,-4319.0,-0.05000000074505806,-0.2240000069141388,703936556013,1071996655,1071.996655,2710.0,72,32,1885.987876
61,-5.531199932098389,-4266.35791015625,-0.05999999865889549,-0.2240000069141388,703960563605,1096004247,1096.004247,2710.0,72,32,1885.987876
61,-7.251399993896484,-4369.35400390625,-0.05999999865889549,-0.2199999988079071,703984557648,1119998290,1119.99829,2710.0,72,32,1885.987876
61,-8.983200073242188,-4314.4228515625,-0.07000000029802322,-0.24699999392032623,704008557627,1143998269,1143.998269,2710.0,72,32,1885.987876
61,-10.706899642944336,-4293.8232421875,-0.07000000029802322,-0.24400000274181366,704032556210,1167996852,1167.996852,2710.0,72,32,1885.987876
61,-12.437100410461426,-4355.6220703125,-0.05999999865889549,-0.21799999475479126,704056556189,1191996831,1191.996831,2710.0,72,32,1885.987876
61,-14.17389965057373,-4312.1337890625,-0.05000000074505806,-0.21199999749660492,704080567343,1216007985,1216.007985,2710.0,72,32,1885.987876
61,-15.899999618530273,-4277.8017578125,-0.05999999865889549,-0.22300000488758087,704104557824,1239998466,1239.998466,2710.0,72,32,1885.987876
61,-17.620800018310547,-4355.6220703125,-0.05999999865889549,-0.21899999678134918,704128556197,1263996839,1263.996839,2710.0,72,32,1885.987876
61,-19.351499557495117,-4312.1337890625,-0.05999999865889549,-0.22100000083446503,704152554500,1287995142,1287.995142,2710.0,72,32,1885.987876
61,-21.075199127197266,-4387.6650390625,-0.05999999865889549,-0.20900000631809235,704176556714,1311997356,1311.997356,2710.0,72,32,1885.987876
61,-22.81100082397461,-4335.02197265625,-0.05999999865889549,-0.20600000023841858,704200562770,1336003412,1336.003412,2710.0,72,32,1885.987876
61,-24.53660011291504,-4325.8671875,-0.05000000074505806,-0.2150000035762787,704224556673,1359997315,1359.997315,2710.0,72,32,1885.987876
61,-26.26289939880371,-4234.31396484375,-0.05999999865889549,-0.22599999606609344,704248557979,1383998621,1383.998621,2710.0,72,32,1885.987876
61,-27.951200485229492,-3804.01611328125,-0.05000000074505806,-0.1899999976158142,704272556841,1407997483,1407.997483,2710.0,72,32,1885.987876
61,-29.286300659179688,-2384.948974609375,-0.05000000074505806,-0.16899999976158142,704296556541,1431997183,1431.997183,2710.0,72,32,1885.987876
61,-29.97480010986328,-366.21099853515625,-0.03999999910593033,-0.10899999737739563,704320566647,1456007289,1456.007289,2710.0,72,32,1885.987876
61,-29.973400115966797,1105.4990234375,0.05999999865889549,0.22699999809265137,704344557966,1479998608,1479.998608,2710.0,72,32,1885.987876
61,-29.327499389648438,2323.15087890625,0.05000000074505806,0.20900000631809235,704368557597,1503998239,1503.998239,2710.0,72,32,1885.987876
61,-28.31100082397461,2927.39892578125,0.05999999865889549,0.20900000631809235,704392555062,1527995704,1527.995704,2710.0,72,32,1885.987876
61,-27.060300827026367,3421.783935546875,0.05999999865889549,0.2029999941587448,704416557066,1551997708,1551.997708,2710.0,72,32,1885.987876
61,-25.64620018005371,3694.153076171875,0.05000000074505806,0.2029999941587448,704440565077,1576005719,1576.005719,2710.0,72,32,1885.987876
61,-24.131900787353516,3815.4599609375,0.05999999865889549,0.20100000500679016,704464556955,1599997597,1599.997597,2710.0,72,32,1885.987876
61,-22.55190086364746,4016.8759765625,0.05999999865889549,0.21400000154972076,704488555887,1623996529,1623.996529,2710.0,72,32,1885.987876
61,-20.921300888061523,4145.0498046875,0.05999999865889549,0.22499999403953552,704512554679,1647995321,1647.995321,2710.0,72,32,1885.987876
61,-19.259199142456055,4222.8701171875,0.05999999865889549,0.21799999475479126,704536554658,1671995300,1671.9953,2710.0,72,32,1885.987876
61,-17.572500228881836,4248.046875,0.05999999865889549,0.2199999988079071,704560562041,1696002683,1696.002683,2710.0,72,32,1885.987876
61,-15.865599632263184,4250.3359375,0.05000000074505806,0.18799999356269836,704584557690,1719998332,1719.998332,2710.0,72,32,1885.987876
61,-14.155200004577637,4284.66796875,0.05000000074505806,0.18799999356269836,704608555714,1743996356,1743.996356,2710.0,72,32,1885.987876
61,-12.446800231933594,4314.4228515625,0.05999999865889549,0.22300000488758087,704632557090,1767997732,1767.997732,2710.0,72,32,1885.987876
61,-10.731499671936035,4227.4482421875,0.05999999865889549,0.20900000631809235,704656554625,1791995267,1791.995267,2710.0,72,32,1885.987876
61,-9.009200096130371,4328.15576171875,0.05999999865889549,0.20000000298023224,704680565429,1816006071,1816.006071,2710.0,72,32,1885.987876
61,-7.27869987487793,4314.4228515625,0.05999999865889549,0.20999999344348907,704704557307,1839997949,1839.997949,2710.0,72,32,1885.987876
61,-5.549600124359131,4289.24609375,0.05000000074505806,0.18199999630451202,704728557077,1863997719,1863.997719,2710.0,72,32,1885.987876
61,-3.875200033187866,3671.264892578125,0.03999999910593033,0.15600000321865082,704752554751,1887995393,1887.995393,2710.0,72,32,1885.987876
